"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A019427",NA,"",15,"Acre-feet per Year"
"A019444",NA,"",37,"Acre-feet per Year"
"A019470",NA,"",12.3,"Acre-feet per Year"
"A019515",NA,"",17,"Acre-feet per Year"
"A019554",NA,"",48,"Acre-feet per Year"
"A019557",NA,"",41,"Acre-feet per Year"
"A019642",NA,"",22,"Acre-feet per Year"
"A019649",NA,"",15,"Acre-feet per Year"
"A019652",NA,"",20,"Acre-feet per Year"
"A019720",NA,"",36,"Acre-feet per Year"
"A019722",NA,"",10,"Acre-feet per Year"
"A019798",NA,"",16,"Acre-feet per Year"
"A019806",NA,"",21,"Acre-feet per Year"
"A019891",NA,"",11,"Acre-feet per Year"
"A019921",NA,"",7,"Acre-feet per Year"
"A020005",NA,"",5.3,"Acre-feet per Year"
"A020015",NA,"",5.6,"Acre-feet per Year"
"A020071",NA,"",5,"Acre-feet per Year"
"A020078",NA,"",13,"Acre-feet per Year"
"A020089",NA,"",10.9,"Acre-feet per Year"
"A020100",NA,"",100,"Acre-feet per Year"
"A020114",NA,"",7,"Acre-feet per Year"
"A020127",NA,"",11,"Acre-feet per Year"
"A020129",NA,"",10,"Acre-feet per Year"
"A020134",NA,"",25.3,"Acre-feet per Year"
"A020147",NA,"",6,"Acre-feet per Year"
"A020261",NA,"",7.5,"Acre-feet per Year"
"A020264",NA,"",10,"Acre-feet per Year"
"A020333",NA,"",16,"Acre-feet per Year"
"A020384",NA,"",12,"Acre-feet per Year"
"A020401",NA,"",6.8,"Acre-feet per Year"
"A020435",NA,"",5,"Acre-feet per Year"
"A020436",NA,"",31,"Acre-feet per Year"
"A020491",NA,"",225,"Acre-feet per Year"
"A020493",NA,"",19.7,"Acre-feet per Year"
"A020509",NA,"",109,"Acre-feet per Year"
"A020540",NA,"",349,"Acre-feet per Year"
"A020557",NA,"",49,"Acre-feet per Year"
"A020573",NA,"",23,"Acre-feet per Year"
"A020582",NA,"",10,"Acre-feet per Year"
"A020583",NA,"",6.3,"Acre-feet per Year"
"A020584",NA,"",7,"Acre-feet per Year"
"A020624",NA,"",23,"Acre-feet per Year"
"A020634",NA,"",15,"Acre-feet per Year"
"A020657",NA,"",35,"Acre-feet per Year"
"A020662",NA,"",89,"Acre-feet per Year"
"A020720",NA,"",16,"Acre-feet per Year"
"A020728",NA,"",18,"Acre-feet per Year"
"A020733",NA,"",16,"Acre-feet per Year"
"A020769",NA,"",28,"Acre-feet per Year"
"A020788",NA,"",48.7,"Acre-feet per Year"
"A020791",NA,"",9,"Acre-feet per Year"
"A020798",NA,"",30,"Acre-feet per Year"
"A020813",NA,"",28,"Acre-feet per Year"
"A020846",NA,"",31,"Acre-feet per Year"
"A020870",NA,"",12,"Acre-feet per Year"
