APPLICATION_NUMBER,YEAR,JAN_DIRECT_DIVERSION,FEB_DIRECT_DIVERSION,MAR_DIRECT_DIVERSION,APR_DIRECT_DIVERSION,MAY_DIRECT_DIVERSION,JUN_DIRECT_DIVERSION,JUL_DIRECT_DIVERSION,AUG_DIRECT_DIVERSION,SEP_DIRECT_DIVERSION,OCT_DIRECT_DIVERSION,NOV_DIRECT_DIVERSION,DEC_DIRECT_DIVERSION,JAN_STORAGE_DIVERSION,FEB_STORAGE_DIVERSION,MAR_STORAGE_DIVERSION,APR_STORAGE_DIVERSION,MAY_STORAGE_DIVERSION,JUN_STORAGE_DIVERSION,JUL_STORAGE_DIVERSION,AUG_STORAGE_DIVERSION,SEP_STORAGE_DIVERSION,OCT_STORAGE_DIVERSION,NOV_STORAGE_DIVERSION,DEC_STORAGE_DIVERSION,JAN_TOTAL_DIVERSION,FEB_TOTAL_DIVERSION,MAR_TOTAL_DIVERSION,APR_TOTAL_DIVERSION,MAY_TOTAL_DIVERSION,JUN_TOTAL_DIVERSION,JUL_TOTAL_DIVERSION,AUG_TOTAL_DIVERSION,SEP_TOTAL_DIVERSION,OCT_TOTAL_DIVERSION,NOV_TOTAL_DIVERSION,DEC_TOTAL_DIVERSION
A006854,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A006855,2017,0,0,0,0,0.54,3.78,0.18,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,3.78,0.18,3.36,0,0,0,0
A006855,2018,0,0,0,0,0,1.93,7.98,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,7.98,2.05,0,0,0,0
A006855,2019,0,0,0,0,0,1.7,3.88,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,3.88,4.05,0,0,0,0
A006855,2020,0,0,0,0,0,1.98,6.24,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,6.24,4.24,0,0,0,0
A006855,2021,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
A006855,2022,0,0,0,0,0,0,2.33,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,1.65,0,0,0,0
A006926,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112014386943726,0.112014386943726,0.112014386943726,0.112014386943726,0,0,0,0,0,0,0,0,0.112014386943726,0.112014386943726,0.112014386943726,0.112014386943726,0,0,0,0,0
A006926,2018,0.016554,0.015467,0.018551,0.026699,0.030919,0.029461,0.039006,0.039006,0.039497,0.029492,0.021912,0.018076,0,0,0,0,0,0,0,0,0,0,0,0,0.016554,0.015467,0.018551,0.026699,0.030919,0.029461,0.039006,0.039006,0.039497,0.029492,0.021912,0.018076
A006926,2019,0.019334,0.01593,0.019794,0.020226,0.026607,0.021763,0.028852,0.029185,0.031931,0.02808,0.011048,0.006322,0,0,0,0,0,0,0,0,0,0,0,0,0.019334,0.01593,0.019794,0.020226,0.026607,0.021763,0.028852,0.029185,0.031931,0.02808,0.011048,0.006322
A006926,2020,0.02,0.015,0.019,0.022,0.028,0.031,0.035,0.032,0.03,0.05,0.33,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.015,0.019,0.022,0.028,0.031,0.035,0.032,0.03,0.05,0.33,0.015
A006926,2021,0.028682,0.03396,0.031269,0.032582,0.039125,0,0,0,0,0.03632,0.0318,0.033095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028682,0.03396,0.031269,0.032582,0.039125,0,0,0,0,0.03632,0.0318,0.033095
A006926,2022,0.030133,0.03334,0.033764,0.030321,0.037858,0,0,0,0,0,0,0.001212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030133,0.03334,0.033764,0.030321,0.037858,0,0,0,0,0,0,0.001212
A007006,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A007006,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A007006,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A007006,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A007006,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A007006,2022,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
A008974,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A008974,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A008974,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A008974,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A008974,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A008974,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A009746,2017,0.009207,0.009207,0.009207,0.015344,0.021482,0.021482,0.021482,0.021482,0.012482,0.012482,0.009207,0.009207,0,0,0,0,0,0,0,0,0,0,0,0,0.009207,0.009207,0.009207,0.015344,0.021482,0.021482,0.021482,0.021482,0.012482,0.012482,0.009207,0.009207
A009746,2018,0.009207,0.009207,0.009207,0.015344,0.021482,0.021482,0.021482,0.021482,0.012482,0.012482,0.009207,0.009207,0,0,0,0,0,0,0,0,0,0,0,0,0.009207,0.009207,0.009207,0.015344,0.021482,0.021482,0.021482,0.021482,0.012482,0.012482,0.009207,0.009207
